"Gene","Expression_compared_to_ref"
"MATK","low"
"SKAP2","low"
"RHBDF2","low"
"UPF3B","low"
"ARFIP1","low"
"COMMD3","low"
"DENND11","low"
"LYPLA1","low"
"H2AJ","low"
"NME1","low"
"S100PBP","low"
"OCEL1","low"
"LGALS9","low"
"YWHAH","low"
"TSN","low"
"DCTPP1","low"
"NDUFA9","low"
"TRMT2A","low"
"CMC1","low"
"COA1","low"
"POM121C","low"
"CKLF","low"
"SMNDC1","low"
"RSRC2","low"
"GART","low"
"ABCF1","low"
"LRRC47","low"
"SAE1","low"
"TOMM40","low"
"ARFGEF1","low"
"CCDC57","low"
"TRIM44","low"
"GATA3","low"
"COX7B","low"
"CDK6","low"
"ITGA6","low"
"MACROH2A1","low"
"HERC4","low"
"SMYD3","low"
"GRK6","low"
"NDUFS8","low"
"PPA1","low"
"HNRNPA3","low"
"VPS13C","low"
"OCIAD2","low"
"MDFIC","low"
"LSM7","low"
"FLOT1","low"
"HPS1","low"
"THOC7","low"
"HMGB1","low"
"DUT","low"
"CHCHD10","low"
"TRAPPC6A","low"
"HSPE1","low"
"EIF5A","low"
"HNRNPF","low"
"SNRPF","low"
"HMGN2","low"
"NDUFA3","low"
"SDHD","low"
"CHURC1","low"
"FLI1","low"
"UXT","low"
"RAB11B","low"
"PARK7","low"
"CRIP1","low"
"SSR4","low"
"NME2","low"
"HMGB2","low"
"TMC8","low"
"MAP2K2","low"
"SRSF11","low"
"NDUFA1","low"
"IL7R","low"
"PDCD4","low"
"GAPDH","low"
"GSTK1","low"
"POLR1D","low"
"TAF1D","low"
"JAK1","low"
"COTL1","low"
"CUTA","low"
"NDUFB9","low"
"FXYD5","low"
"TRA2B","low"
"NAP1L4","low"
"CORO1A","low"
"H1-10","low"
"CD3E","low"
"EEF1D","low"
"C12orf57","low"
"PTMA","low"
"TMA7","low"
"MIF","low"
"CHCHD2","low"
"COX7C","low"
"HNRNPA1","low"
"MZT2B","low"
"APRT","low"
"PPIA","low"
