"","eomgCtrlP","lomgCtrlP","eomgLomgP"
"B_EOMGhigh_1",0.0060075016121374,1,0.00305185372347253
"B_EOMGhigh_2",0.000453437422464828,1,0.00348490870255564
"B_EOMGlow_1",0.00131554809873697,1,0.00039718811007476
"B_EOMGlow_2",0.000699920796854905,1,0.000147502109438469
"B_LOMGhigh_1",1,0.0773292019513537,0.0255015260497138
"B_LOMGhigh_2",1,0.710004748072496,0.330481849317319
"B_LOMGlow_1",1,4.19070362494814e-05,0.0166068773725744
"B_LOMGlow_2",1,8.21549314133749e-05,0.00267920037617842
"B_LOMGlow_3",1,9.88082226646295e-05,0.000982592418865769
"B_LOMGlow_4",1,0.000124348533465595,3.00343924018097e-05
"B_LOMGlow_5",1,0.000278066024779363,4.3394667999631e-05
"CD4T_EOMGhigh_1",0.201230395952801,1,0.00107382639481452
"CD4T_EOMGhigh_2",0.561757987360933,1,0.01710940216965
"CD4T_EOMGhigh_3",0.561910642541989,1,0.00118031882742468
"CD4T_EOMGhigh_4",0.00419772498865713,1,0.141292958662637
"CD4T_EOMGhigh_5",0.00349043482553195,1,0.00658922135996269
"CD4T_EOMGlow_1",0.00349043482553195,1,0.00177151472712078
"CD4T_EOMGlow_2",0.0188502944022704,1,0.00746369691008713
"CD4T_EOMGlow_3",0.000868462988734477,1,0.000244870569320694
"CD4T_EOMGlow_4",0.00714904189948207,1,0.00177151472712078
"CD4T_EOMGlow_5",0.0385726855054405,1,0.172286494168147
"CD4T_EOMGlow_6",0.00348345137566272,1,0.000630353763447925
"CD4T_LOMGhigh_1",1,0.267980505422322,0.320101539620998
"CD4T_LOMGhigh_2",1,0.000323470632211647,0.000462287309243372
"CD4T_LOMGhigh_3",1,0.130710177704756,0.119066516233123
"CD4T_LOMGlow_1",1,0.000493793571468582,0.00515292476591245
"CD4T_LOMGlow_2",1,0.000124653083098549,0.000464992108262793
"CD4T_LOMGlow_3",1,0.0012206808897033,0.00267920037617842
"CD4T_LOMGlow_4",1,0.000408833629728625,0.00306443124715756
"CD4T_LOMGlow_5",1,1.39466225021175e-05,4.3394667999631e-05
"CD8T_EOMGhigh_1",0.257464389097321,1,0.118172062484368
"CD8T_EOMGhigh_2",0.0812411241668052,1,0.22130179252103
"CD8T_EOMGhigh_3",4.10642007183554e-05,1,0.000338658701120149
"CD8T_EOMGlow_1",0.00419772498865713,1,0.000338658701120149
"CD8T_EOMGlow_2",8.7696983406272e-05,1,0.000175776787287907
"CD8T_EOMGlow_3",4.10642007183554e-05,1,8.86209416646013e-05
"CD8T_LOMGhigh_1",1,0.0012206808897033,0.0034988530123576
"CD8T_LOMGhigh_2",1,0.000714743652379733,0.000633861110678492
"CD8T_LOMGhigh_3",1,0.00172168992452432,0.0034988530123576
"CD8T_LOMGhigh_4",1,0.0812560186889061,0.0343191983573294
"CD8T_LOMGlow_1",1,0.000228425664656542,0.0013326107064791
"CD8T_LOMGlow_2",1,8.21549314133749e-05,0.0013326107064791
"CD8T_LOMGlow_3",1,2.76633921042689e-05,3.61347849896291e-05
"CD8T_LOMGlow_4",1,0.000101330469365146,0.00014852201280132
"TCRgd_EOMGhigh_1",0.0623057867504409,1,0.0256425041087083
"TCRgd_EOMGhigh_2",0.11413782531836,1,0.060955375683942
"TCRgd_EOMGhigh_3",0.335913521753261,1,0.060955375683942
"TCRgd_EOMGhigh_4",0.186333409846359,1,0.0256425041087083
"TCRgd_EOMGhigh_5",0.335913521753261,1,0.203439383923812
"TCRgd_EOMGhigh_6",0.11413782531836,1,0.060955375683942
"TCRgd_EOMGhigh_7",0.0584656597422256,1,0.0387992162633836
"TCRgd_EOMGlow_1",0.000228434724005663,1,0.0133853773776006
"TCRgd_EOMGlow_2",0.462149996404249,1,0.937609086119214
"TCRgd_EOMGlow_3",0.549477865609328,1,0.0429272287192235
"TCRgd_EOMGlow_4",0.0817181195100225,1,0.228434744098325
"TCRgd_LOMGhigh_1",1,0.0198993594167832,0.0112851239311036
"TCRgd_LOMGhigh_2",1,0.00851764710665738,0.0282339267262551
"TCRgd_LOMGhigh_3",1,0.0837963095914815,0.132015429416294
"TCRgd_LOMGhigh_4",1,0.157747718721581,0.350756573897172
"TCRgd_LOMGlow_1",1,0.000187156123554301,0.000738066099378732
"TCRgd_LOMGlow_2",1,3.45738657911892e-05,6.22405870758827e-05
"NK_EOMGhigh_1",0.668290641516517,1,0.164804505692041
"NK_EOMGhigh_2",0.00289207822607355,1,0.00661181937882709
"NK_EOMGhigh_3",0.633484163175814,1,0.379288852791274
"NK_EOMGlow_1",0.011798320324911,1,0.00661181937882709
"NK_EOMGlow_2",0.000142803789929351,1,0.00014852201280132
"NK_EOMGlow_3",0.00349043482553195,1,0.000244870569320694
"NK_EOMGlow_4",0.000868462988734477,1,0.00584208953833225
"NK_LOMGhigh_1",1,0.00102386607683438,0.000543389465093055
"NK_LOMGhigh_2",1,0.0769002428669605,0.662176294983612
"NK_LOMGhigh_3",1,0.00184377481377046,0.0024767021579799
"NK_LOMGlow_1",1,0.000278066024779363,0.00746988110171849
"NK_LOMGlow_2",1,0.000187156123554301,0.0039878059067821
"NK_LOMGlow_3",1,0.00240344640732387,0.0941291380488417
"ILC_EOMGhigh_1",0.0623057867504409,1,0.0256425041087083
"ILC_EOMGlow_1",0.0704607625919804,1,0.354071896765243
"ILC_LOMGlow_1",1,0.0490248022277987,0.000607522017408333
