"","eomgLomgP"
"B_EOMGhigh_1",1
"B_EOMGhigh_2",1
"B_EOMGhigh_3",1
"B_EOMGlow_1",1
"B_EOMGlow_2",1
"B_LOMGhigh_1",0.525762027726519
"B_LOMGhigh_2",1
"B_LOMGlow_1",0.321998120950183
"B_LOMGlow_2",0.110015681790706
"B_LOMGlow_3",1
"CD4T_EOMGhigh_3",1
"CD4T_EOMGlow_1",0.761162488007048
"CD4T_EOMGlow_2",0.166460804032783
"CD4T_EOMGlow_3",0.030607317477301
"CD4T_EOMGlow_4",1
"CD4T_LOMGhigh_1",1
"CD4T_LOMGhigh_2",0.674310776761804
"CD4T_LOMGlow_1",1
"CD4T_LOMGlow_2",1
"CD4T_LOMGlow_3",0.280637918067289
"CD8T_EOMGhigh_1",0.719362081932711
"CD8T_EOMGhigh_2",1
"CD8T_EOMGlow_1",1
"CD8T_EOMGlow_2",1
"CD8T_EOMGlow_3",1
"CD8T_LOMGhigh_1",0.985993572120792
"CD8T_LOMGhigh_2",0.448583261187531
"CD8T_LOMGhigh_3",1
"CD8T_LOMGhigh_4",1
"CD8T_LOMGlow_1",0.110015681790706
"CD8T_LOMGlow_2",0.0119342210822872
"CD8T_LOMGlow_3",1
"TCRgd_EOMGhigh_1",0.67448991761573
"TCRgd_EOMGhigh_2",1
"TCRgd_EOMGhigh_3",1
"TCRgd_LOMGhigh_1",1
"TCRgd_LOMGhigh_2",1
"TCRgd_LOMGlow_1",0.720227704805558
"TCRgd_LOMGlow_3",1
"TCRgd_LOMGlow_4",1
"NK_EOMGhigh_1",1
"NK_EOMGhigh_2",1
"NK_EOMGhigh_3",1
"NK_EOMGhigh_4",1
"NK_EOMGlow_1",0.00183780605887062
"NK_LOMGhigh_1",1
"NK_LOMGlow_1",1
"NK_LOMGlow_2",1
